
3월 28, 2020 14:09:07.62 NEW SESSION
3월 28, 2020 14:09:07.62 [10344:17320:0328/140907.618:ERROR:connection_factory_impl.cc(420)] Failed to connect to MCS endpoint with error -118
3월 28, 2020 15:37:09.27 
3월 28, 2020 15:37:09.28 KLIB_SelfTest return : KLR_OK
3월 28, 2020 15:37:43.54 [20076:14120:0328/153743.542:ERROR:connection_factory_impl.cc(420)] Failed to connect to MCS endpoint with error -118
3월 28, 2020 15:40:41.24 
3월 28, 2020 15:40:41.25 KLIB_SelfTest return : KLR_OK
3월 28, 2020 15:41:53.80 [16556:9916:0328/154153.804:ERROR:connection_factory_impl.cc(420)] Failed to connect to MCS endpoint with error -118
3월 28, 2020 16:08:16.27 
3월 28, 2020 16:08:16.27 KLIB_SelfTest return : KLR_OK
3월 28, 2020 16:30:45.33 [14692:14068:0328/163045.330:ERROR:connection_factory_impl.cc(420)] Failed to connect to MCS endpoint with error -118
3월 28, 2020 16:39:16.20 
3월 28, 2020 16:39:16.20 KLIB_SelfTest return : KLR_OK
3월 28, 2020 16:40:00.06 [22952:11920:0328/164000.061:ERROR:connection_factory_impl.cc(420)] Failed to connect to MCS endpoint with error -118
3월 28, 2020 16:44:07.73 
3월 28, 2020 16:44:07.73 KLIB_SelfTest return : KLR_OK
3월 28, 2020 16:44:49.06 [11768:12228:0328/164449.067:ERROR:connection_factory_impl.cc(420)] Failed to connect to MCS endpoint with error -118
3월 28, 2020 16:46:39.20 [11768:22236:0328/164639.200:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'setText' of null", source:  (0)
3월 28, 2020 16:46:39.74 [11768:22236:0328/164639.749:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'setText' of null", source:  (0)
3월 28, 2020 16:46:40.25 [11768:22236:0328/164640.257:ERROR:CONSOLE(214)] "Uncaught TypeError: Cannot read property 'index' of null", source: devtools://devtools/bundled/elements/StylesSidebarPane.js (214)
3월 28, 2020 16:46:40.59 [11768:22236:0328/164640.595:ERROR:CONSOLE(69)] "Uncaught TypeError: Cannot read property 'disabled' of null", source: devtools://devtools/bundled/elements/StylePropertyTreeElement.js (69)
3월 28, 2020 16:46:40.83 [11768:22236:0328/164640.837:ERROR:CONSOLE(99)] "Uncaught TypeError: Cannot read property 'propertyText' of null", source: devtools://devtools/bundled/elements/StylePropertyTreeElement.js (99)
3월 28, 2020 16:46:41.89 [11768:22236:0328/164641.893:ERROR:CONSOLE(99)] "Uncaught TypeError: Cannot read property 'propertyText' of null", source: devtools://devtools/bundled/elements/StylePropertyTreeElement.js (99)
3월 28, 2020 16:46:47.09 [11768:22236:0328/164647.095:ERROR:CONSOLE(214)] "Uncaught TypeError: Cannot read property 'index' of null", source: devtools://devtools/bundled/elements/StylesSidebarPane.js (214)
3월 28, 2020 16:46:47.44 [11768:22236:0328/164647.447:ERROR:CONSOLE(214)] "Uncaught TypeError: Cannot read property 'index' of null", source: devtools://devtools/bundled/elements/StylesSidebarPane.js (214)
3월 28, 2020 16:46:47.79 [11768:22236:0328/164647.790:ERROR:CONSOLE(99)] "Uncaught TypeError: Cannot read property 'propertyText' of null", source: devtools://devtools/bundled/elements/StylePropertyTreeElement.js (99)
3월 28, 2020 16:46:51.44 [11768:22236:0328/164651.444:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
