127.0.0.1 - - [27/Mar/2020:17:13:54 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:55 +0900] "GET /top/index.html HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/img/logoazzara.svg HTTP/1.1" 200 4984
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/css/demo.css HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/css/azzara.min.css HTTP/1.1" 200 196888
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/css/bootstrap.min.css HTTP/1.1" 200 117035
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/js/plugin/webfont/webfont.min.js HTTP/1.1" 200 13340
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/img/jm_denis.jpg HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/img/chadengle.jpg HTTP/1.1" 200 3849
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /assets/css/fonts.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/img/mlane.jpg HTTP/1.1" 200 15450
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/img/profile2.jpg HTTP/1.1" 200 11365
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/img/profile.jpg HTTP/1.1" 200 19934
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/img/talha.jpg HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/main.top HTTP/1.1" 200 30749
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /assets/js/core/bootstrap.min.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /assets/js/core/jquery.3.2.1.min.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /assets/js/plugin/jquery-ui-touch-punch/jquery.ui.touch-punch.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /assets/js/core/popper.min.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /assets/js/plugin/jquery-ui-1.12.1.custom/jquery-ui.min.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /assets/js/plugin/bootstrap-toggle/bootstrap-toggle.min.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /assets/js/ready.min.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /assets/js/plugin/datatables/datatables.min.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /assets/js/setting-demo.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/js/core/jquery.3.2.1.min.js HTTP/1.1" 200 86663
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/js/core/popper.min.js HTTP/1.1" 200 19157
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/js/plugin/jquery-ui-1.12.1.custom/jquery-ui.min.js HTTP/1.1" 200 95122
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:13:58 +0900] "GET /top/assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js HTTP/1.1" 200 12263
